Map,4,"Village",120,100
Size,64,64,
NameT[0],"Grass",
WallT[0],0,000000FF,"",
DoorT[0],0,000000FF,"","",
FloorT[0],2,006400FF,"PNG/FloorTile1.png",
CostT[0],10,100,
NameT[1],"Path",
WallT[1],0,000000FF,"",
DoorT[1],0,000000FF,"","",
FloorT[1],2,606060FF,"PNG/FloorTile1.png",
CostT[1],10,200,
NameT[2],"Room",
WallT[2],0,000000FF,"",
DoorT[2],0,000000FF,"","",
FloorT[2],2,B5651DFF,"PNG/FloorTile1.png",
CostT[2],10,100,
NameT[3],"Water",
WallT[3],0,000000FF,"",
DoorT[3],0,000000FF,"","",
FloorT[3],0,0000FFFF,"",
CostT[3],40,100,
# ,   0,   1,   2,   3,   4,   5,   6,   7,   8,   9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20,  21,  22,  23,  24,  25,  26,  27,  28,  29,  30,  31,  32,  33,  34,  35,  36,  37,  38,  39,  40,  41,  42,  43,  44,  45,  46,  47,  48,  49,  50,  51,  52,  53,  54,  55,  56,  57,  58,  59,  60,  61,  62,  63
 0,2009,2001,2001,2003,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,2009,2001,2001,2001,2003
 1,2008,2000,2000,2002,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,2008,2000,2000,2000,2002
 2,2008,2000,2000,2002,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,2008,2000,2000,2000,2002
 3,200C,2004,2004,2046,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,2008,2000,2000,2000,2002
 4,0000,0000,1001,1011,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1022,208C,2004,2004,2004,2006
 5,0000,0000,1000,1000,1004,1004,1004,1004,1004,1044,1004,1004,1000,1004,1000,1004,1000,1004,1004,1004,1004,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
 6,0000,0000,1000,1002,2009,2001,2003,2009,2001,2011,2001,2003,100A,0009,0000,0001,0002,202D,20A1,2087,000B,1008,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
 7,0000,0000,1000,1002,2008,2000,2002,2008,2000,2000,2000,2002,1008,0000,0000,0000,0002,202D,20A0,2087,0008,1000,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
 8,0000,0000,1000,1002,200C,2004,2046,2008,2000,2000,2000,2002,100A,0008,0000,0000,0002,202D,20A0,2087,000A,1008,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
 9,0000,0000,1000,1002,2009,2003,201B,2008,2000,2000,2000,2002,1008,0000,0000,0000,0000,2005,2000,2005,0000,1000,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
